OBJECTID,ID,DIST_NM,DIST_NUM,CNTY_NM,CNTY_NUM,TRF_STA_ID,AADT_2022,x,y
249,63377,Childress,25,Motley,173,173FS114,8,-100.853912000338,33.8980479997155
250,63393,Childress,25,Motley,173,173FS111,3,-100.859444000041,33.9061890001223
251,63409,Childress,25,Motley,173,173FS3,5,-100.863388000256,34.0766679999283
252,63457,Childress,25,Motley,173,173FS109,6,-100.8281559997,34.0199389999849
253,63465,Childress,25,Motley,173,173FS5,3,-100.845695000024,34.0622519997301
254,63473,Childress,25,Motley,173,173FS105,6,-100.826065000399,34.0199810001231
255,63489,Childress,25,Motley,173,173CR13,11,-100.732903000273,33.8886180001207
256,63505,Childress,25,Motley,173,173FS7,7,-100.672278999676,33.8933489997566
257,63513,Childress,25,Motley,173,173CR12,5,-100.667450000017,33.9213099995569
258,63521,Childress,25,Motley,173,173FS6,8,-100.790222000445,33.9656330002628
259,63529,Childress,25,Motley,173,173CR9,8,-100.73662600019,33.9802089997456
260,63545,Childress,25,Motley,173,173FS14,9,-100.703772999624,33.9895820003091
261,63561,Childress,25,Briscoe,23,23CR16,4,-101.077751000308,34.3373680000332
262,63569,Childress,25,Motley,173,173FS18,5,-100.983521000394,34.0902060001069
263,63577,Childress,25,Briscoe,23,23FS6,3,-101.042304999776,34.3205679996136
264,63601,Childress,25,Motley,173,173FS21,4,-100.98358199961,34.2303769997988
265,63617,Childress,25,Motley,173,173FS2,5,-100.937515000317,34.3052829998106
266,63625,Childress,25,Briscoe,23,23FS120,3,-101.056792999697,34.3640330003228
267,63641,Childress,25,Briscoe,23,23CR46,3,-101.061058000326,34.3691289997036
268,63657,Childress,25,Briscoe,23,23FS14,5,-101.067328999933,34.3996580001167
269,63665,Childress,25,Briscoe,23,23CR3,10,-101.065132000242,34.4783290001832
270,63673,Childress,25,Briscoe,23,23CR4,3,-101.060691999636,34.5057720003776
271,63681,Childress,25,Briscoe,23,23FS117,3,-101.052765000105,34.3711049999958
272,63705,Childress,25,Briscoe,23,23CR7,4,-101.042076000007,34.3837470002239
273,63713,Childress,25,Briscoe,23,23CR8,8,-101.024596999752,34.3929520002347
274,63721,Childress,25,Briscoe,23,23CR14,11,-101.007163999819,34.3675190001018
275,63729,Childress,25,Briscoe,23,23CR9,4,-101.014854000112,34.3981820003991
276,63737,Childress,25,Briscoe,23,23FS9,12,-101.049156000049,34.4071039999497
277,63745,Childress,25,Briscoe,23,23CR10,14,-100.989509999587,34.4001009998613
278,63761,Childress,25,Briscoe,23,23CR12,4,-100.954536000136,34.3988800002119
279,63801,Childress,25,Motley,173,173CR4,8,-100.824080999738,34.1060709996769
280,63809,Childress,25,Motley,173,173FS13,12,-100.855224999734,34.1465029999136
281,63817,Childress,25,Motley,173,173CR6,7,-100.84093499995,34.1787490003661
282,63825,Childress,25,Motley,173,173CR16,12,-100.920318999622,34.2278480000852
283,63833,Childress,25,Motley,173,173FS1,4,-100.918365000344,34.2666659996362
284,63865,Childress,25,Hall,97,97CR24,13,-100.807968000423,34.3275339997943
285,63873,Childress,25,Motley,173,173CR7,9,-100.752837999574,34.1320689997846
286,63889,Childress,25,Hall,97,97FS128,14,-100.898003000238,34.3874700001405
287,63913,Childress,25,Hall,97,97FS23,5,-100.864288000391,34.3657460001778
288,63945,Childress,25,Hall,97,97CR25,2,-100.831131000195,34.3435170003094
289,63953,Childress,25,Hall,97,97CR23,3,-100.828499000229,34.4254990001788
290,63961,Childress,25,Hall,97,97CR22,5,-100.824546999644,34.4516870000551
291,63977,Childress,25,Hall,97,97CR19,6,-100.759773000124,34.5217400002009
292,64009,Childress,25,Briscoe,23,23FS10,5,-100.974152000015,34.6440469998692
293,64017,Childress,25,Briscoe,23,23FS18,5,-100.96910900038,34.6765589999979
294,64041,Childress,25,Donley,65,65CR33,13,-101.018234000399,34.9945560001593
295,64057,Childress,25,Donley,65,65CR36,4,-100.980476000267,34.9746739997054
296,64097,Childress,25,Donley,65,65FS3,10,-100.986694000128,35.1155820001093
297,64105,Childress,25,Hall,97,97FS1,6,-100.884056000084,34.7059480000003
298,64113,Childress,25,Hall,97,97FS10,3,-100.862029999685,34.7056849995631
299,64121,Childress,25,Hall,97,97FS15,4,-100.807823000031,34.6343349998604
300,64129,Childress,25,Hall,97,97CR38,7,-100.825768000193,34.6739999998002
301,64153,Childress,25,Donley,65,65FS23,3,-100.864601000436,34.8591350000802
302,64177,Childress,25,Hall,97,97FS28,12,-100.788413999806,34.6917380003085
303,64193,Childress,25,Hall,97,97FS29,4,-100.71969600007,34.6202959999605
304,64201,Childress,25,Hall,97,97FS18,3,-100.690819000297,34.6295660002708
305,64249,Childress,25,Donley,65,65CR25,13,-100.793198000088,34.8299790000309
306,64313,Childress,25,Donley,65,65CR39,12,-100.919135999926,34.9562259997302
307,64353,Childress,25,Donley,65,65FS110,3,-100.895492999602,34.9349400001809
308,64369,Childress,25,Donley,65,65FS25,6,-100.900932000411,34.9618229997317
309,64465,Childress,25,Donley,65,65CR3,9,-100.794517999806,34.9118609997853
310,64505,Childress,25,Donley,65,65FS127,7,-100.91687800012,35.0336839996169
311,64537,Childress,25,Donley,65,65FS125,7,-100.904410999868,35.0392530001259
312,64569,Childress,25,Donley,65,65CR3A,3,-100.780350000252,34.9060669996923
313,64585,Childress,25,Donley,65,65CR59,7,-100.770919999758,34.9021420003531
314,64593,Childress,25,Donley,65,65CR21,12,-100.741065999896,34.8860130002998
315,64617,Childress,25,Donley,65,65CR15,6,-100.700652999636,34.8725239996829
316,64633,Childress,25,Donley,65,65FS119,2,-100.66503900035,34.8706889995977
317,64641,Childress,25,Donley,65,65FS22,13,-100.724571000052,34.9543270002909
318,64657,Childress,25,Donley,65,65FS26,9,-100.671623000001,34.9602199995534
319,64665,Childress,25,Donley,65,65FS15,3,-100.666206000207,34.9501880000762
